City,report_year,has_nulls
ANDOVER,2002,True
ANDOVER,2003,True
ANDOVER,2004,True
ANDOVER,2005,True
ANDOVER,2006,True
ANDOVER,2007,True
ANDOVER,2008,True
ANDOVER,2009,True
ANDOVER,2010,True
ANDOVER,2011,True
ANDOVER,2012,True
ANDOVER,2013,True
ANDOVER,2014,True
ANDOVER,2015,True
ANDOVER,2016,True
ANDOVER,2017,True
ANDOVER,2018,True
ANSONIA,2002,True
ASHFORD,2002,True
ASHFORD,2003,True
ASHFORD,2004,True
ASHFORD,2005,True
ASHFORD,2006,True
ASHFORD,2007,True
ASHFORD,2008,True
ASHFORD,2009,True
ASHFORD,2010,True
ASHFORD,2011,True
ASHFORD,2012,True
ASHFORD,2013,True
ASHFORD,2014,True
ASHFORD,2015,True
ASHFORD,2016,True
ASHFORD,2017,True
ASHFORD,2018,True
AVON,2002,True
BARKHAMSTED,2002,True
BARKHAMSTED,2008,True
BARKHAMSTED,2015,True
BARKHAMSTED,2016,True
BARKHAMSTED,2017,True
BARKHAMSTED,2018,True
BERLIN,2002,True
BETHANY,2002,True
BETHANY,2003,True
BETHANY,2004,True
BETHANY,2005,True
BETHANY,2006,True
BETHANY,2007,True
BETHANY,2008,True
BETHANY,2009,True
BETHANY,2010,True
BETHANY,2011,True
BETHANY,2012,True
BETHANY,2013,True
BETHANY,2014,True
BETHANY,2017,True
BETHANY,2018,True
BETHEL,2002,True
BLOOMFIELD,2002,True
BLOOMFIELD,2018,True
BOLTON,2002,True
BOLTON,2006,True
BOZRAH,2002,True
BOZRAH,2003,True
BOZRAH,2004,True
BOZRAH,2005,True
BOZRAH,2006,True
BOZRAH,2007,True
BOZRAH,2008,True
BOZRAH,2009,True
BOZRAH,2010,True
BOZRAH,2011,True
BOZRAH,2012,True
BOZRAH,2013,True
BOZRAH,2014,True
BOZRAH,2015,True
BOZRAH,2016,True
BOZRAH,2017,True
BOZRAH,2018,True
BRANFORD,2002,True
BRANFORD,2016,True
BRIDGEPORT,2002,True
BRISTOL,2002,True
BROOKFIELD,2002,True
BROOKLYN,2002,True
BROOKLYN,2016,True
BROOKLYN,2017,True
CANAAN,2002,True
CANAAN,2016,True
CANAAN,2017,True
CANAAN,2018,True
CANTERBURY,2002,True
CANTERBURY,2003,True
CANTERBURY,2004,True
CANTERBURY,2005,True
CANTERBURY,2006,True
CANTERBURY,2007,True
CANTERBURY,2008,True
CANTERBURY,2009,True
CANTERBURY,2010,True
CANTERBURY,2011,True
CANTERBURY,2012,True
CANTERBURY,2013,True
CANTERBURY,2014,True
CANTERBURY,2015,True
CANTERBURY,2016,True
CANTERBURY,2017,True
CANTERBURY,2018,True
CANTON,2002,True
CHAPLIN,2002,True
CHAPLIN,2003,True
CHAPLIN,2004,True
CHAPLIN,2005,True
CHAPLIN,2006,True
CHAPLIN,2007,True
CHAPLIN,2008,True
CHAPLIN,2009,True
CHAPLIN,2010,True
CHAPLIN,2011,True
CHAPLIN,2012,True
CHAPLIN,2013,True
CHAPLIN,2014,True
CHAPLIN,2015,True
CHAPLIN,2016,True
CHAPLIN,2017,True
CHAPLIN,2018,True
CHESHIRE,2002,True
CLINTON,2002,True
COLCHESTER,2002,True
COLEBROOK,2002,True
COLEBROOK,2003,True
COLEBROOK,2004,True
COLEBROOK,2005,True
COLEBROOK,2006,True
COLEBROOK,2007,True
COLEBROOK,2008,True
COLEBROOK,2009,True
COLEBROOK,2010,True
COLEBROOK,2011,True
COLEBROOK,2012,True
COLEBROOK,2013,True
COLEBROOK,2014,True
COLEBROOK,2015,True
COLEBROOK,2016,True
COLEBROOK,2017,True
COLEBROOK,2018,True
COLUMBIA,2002,True
CORNWALL,2002,True
CORNWALL,2005,True
CORNWALL,2011,True
CORNWALL,2012,True
CORNWALL,2013,True
CORNWALL,2014,True
CORNWALL,2015,True
CORNWALL,2016,True
CORNWALL,2017,True
CORNWALL,2018,True
COVENTRY,2002,True
COVENTRY,2007,True
CROMWELL,2002,True
DANBURY,2002,True
DARIEN,2002,True
DEEP RIVER,2002,True
DERBY,2002,True
DERBY,2010,True
DERBY,2011,True
DERBY,2012,True
DERBY,2016,True
EAST GRANBY,2002,True
EAST HADDAM,2002,True
EAST HAMPTON,2002,True
EAST HARTFORD,2002,True
EAST HAVEN,2002,True
EAST LYME,2002,True
EAST WINDSOR,2002,True
EAST WINDSOR,2005,True
EAST WINDSOR,2006,True
EAST WINDSOR,2012,True
EASTFORD,2002,True
EASTFORD,2008,True
EASTFORD,2009,True
EASTFORD,2010,True
EASTFORD,2011,True
EASTFORD,2012,True
EASTFORD,2013,True
EASTFORD,2014,True
EASTFORD,2015,True
EASTFORD,2016,True
EASTFORD,2017,True
EASTFORD,2018,True
EASTON,2002,True
EASTON,2016,True
EASTON,2017,True
ELLINGTON,2002,True
ENFIELD,2002,True
FAIRFIELD,2002,True
FARMINGTON,2002,True
FRANKLIN,2002,True
FRANKLIN,2003,True
FRANKLIN,2004,True
FRANKLIN,2005,True
FRANKLIN,2006,True
FRANKLIN,2007,True
FRANKLIN,2008,True
FRANKLIN,2009,True
FRANKLIN,2010,True
FRANKLIN,2011,True
FRANKLIN,2012,True
FRANKLIN,2013,True
FRANKLIN,2014,True
FRANKLIN,2015,True
FRANKLIN,2016,True
FRANKLIN,2017,True
FRANKLIN,2018,True
GLASTONBURY,2002,True
GRANBY,2002,True
GREENWICH,2002,True
GRISWOLD,2002,True
GROTON,2002,True
GUILFORD,2002,True
HAMDEN,2002,True
HAMPTON,2002,True
HAMPTON,2008,True
HAMPTON,2014,True
HAMPTON,2015,True
HAMPTON,2016,True
HAMPTON,2017,True
HAMPTON,2018,True
HARTFORD,2002,True
HARTLAND,2002,True
HARTLAND,2004,True
HARTLAND,2012,True
HARTLAND,2015,True
HARTLAND,2016,True
HARTLAND,2017,True
HARTLAND,2018,True
HEBRON,2002,True
HEBRON,2003,True
HEBRON,2004,True
HEBRON,2005,True
HEBRON,2014,True
KENT,2002,True
KENT,2016,True
KENT,2017,True
